iter	Passed	Remaining
598	1819	1217
599	1821	1214
600	1824	1211
601	1826	1207
602	1829	1204
603	1832	1201
604	1834	1197
605	1837	1194
606	1840	1191
607	1842	1188
608	1845	1184
609	1848	1181
610	1850	1178
611	1853	1175
612	1856	1171
613	1858	1168
614	1861	1165
615	1864	1162
616	1866	1158
617	1869	1155
618	1872	1152
619	1874	1149
620	1877	1145
621	1879	1142
622	1882	1139
623	1885	1136
624	1888	1132
625	1890	1129
626	1893	1126
627	1896	1123
628	1898	1119
629	1901	1116
630	1904	1113
631	1907	1110
632	1909	1107
633	1912	1104
634	1915	1100
635	1918	1097
636	1920	1094
637	1923	1091
638	1926	1088
639	1928	1084
640	1931	1081
641	1934	1078
642	1937	1075
643	1939	1072
644	1942	1069
645	1945	1065
646	1947	1062
647	1950	1059
648	1953	1056
649	1956	1053
650	1958	1050
651	1961	1046
652	1964	1043
653	1966	1040
654	1969	1037
655	1972	1034
656	1975	1031
657	1977	1028
658	1980	1024
659	1983	1021
660	1985	1018
661	1988	1015
662	1990	1011
663	1993	1008
664	1996	1005
665	1998	1002
666	2001	999
667	2004	996
668	2006	992
669	2009	989
670	2012	986
671	2014	983
672	2017	980
673	2020	977
674	2023	974
675	2025	970
676	2028	967
677	2031	964
678	2033	961
679	2036	958
680	2039	955
681	2041	951
682	2044	948
683	2046	945
684	2049	942
685	2052	939
686	2054	936
687	2057	932
688	2059	929
689	2062	926
690	2065	923
691	2067	920
692	2070	917
693	2072	914
694	2076	911
695	2079	908
696	2083	905
697	2086	902
698	2088	899
699	2092	896
700	2094	893
701	2097	890
702	2100	887
703	2102	884
704	2105	881
705	2108	878
706	2111	874
707	2113	871
708	2116	868
709	2119	865
710	2122	862
711	2124	859
712	2127	856
713	2130	853
714	2132	850
715	2135	847
716	2138	844
717	2141	840
718	2143	837
719	2146	834
720	2149	831
721	2151	828
722	2154	825
723	2157	822
724	2161	819
725	2164	817
726	2167	813
727	2170	810
728	2173	807
729	2175	804
730	2178	801
731	2180	798
732	2183	795
733	2186	792
734	2189	789
735	2193	786
736	2197	784
737	2201	781
738	2205	778
739	2209	776
740	2212	773
741	2216	770
742	2220	768
743	2224	765
744	2228	762
745	2231	759
746	2235	757
747	2239	754
748	2243	751
749	2249	749
750	2256	748
751	2263	746
752	2269	744
753	2277	743
754	2283	741
755	2289	739
756	2295	736
757	2301	734
758	2305	732
759	2311	729
760	2316	727
761	2321	725
762	2326	722
763	2331	720
764	2335	717
765	2340	714
766	2345	712
767	2350	710
768	2355	707
769	2359	704
770	2363	701
771	2366	698
772	2369	695
773	2372	692
774	2376	689
775	2379	687
776	2383	684
777	2387	681
778	2391	678
779	2394	675
780	2398	672
781	2401	669
782	2407	667
783	2410	664
784	2413	661
785	2417	658
786	2420	655
787	2423	651
788	2426	648
789	2428	645
790	2431	642
791	2434	639
792	2436	636
793	2439	632
794	2442	629
795	2444	626
796	2447	623
797	2450	620
798	2452	617
799	2455	613
800	2458	610
801	2460	607
802	2463	604
803	2466	601
804	2468	598
805	2471	594
806	2473	591
807	2477	588
808	2481	585
809	2484	582
810	2487	579
811	2489	576
812	2492	573
813	2495	570
814	2497	567
815	2500	563
816	2503	560
817	2505	557
818	2508	554
819	2511	551
820	2513	548
821	2516	544
822	2519	541
823	2521	538
824	2524	535
825	2527	532
826	2529	529
827	2535	526
828	2540	523
829	2542	520
830	2545	517
831	2548	514
832	2551	511
833	2553	508
834	2556	505
835	2558	501
836	2561	498
837	2564	495
838	2567	492
839	2569	489
840	2572	486
841	2575	483
842	2577	480
843	2580	476
844	2583	473
845	2585	470
846	2588	467
847	2591	464
848	2593	461
849	2596	458
850	2599	455
851	2601	451
852	2604	448
853	2607	445
854	2610	442
855	2612	439
856	2615	436
857	2617	433
858	2620	430
859	2623	427
860	2625	423
861	2628	420
862	2630	417
863	2633	414
864	2636	411
865	2639	408
866	2641	405
867	2644	402
868	2647	399
869	2650	396
870	2652	392
871	2655	389
872	2658	386
873	2660	383
874	2663	380
875	2666	377
876	2669	374
877	2671	371
878	2674	368
879	2677	365
880	2680	362
881	2682	358
882	2685	355
883	2688	352
884	2690	349
885	2693	346
886	2696	343
887	2698	340
888	2701	337
889	2704	334
890	2706	331
891	2709	328
892	2711	324
893	2714	321
894	2717	318
895	2719	315
896	2722	312
897	2725	309
898	2727	306
899	2730	303
900	2733	300
901	2735	297
902	2738	294
903	2741	291
904	2744	288
905	2746	284
906	2749	281
907	2751	278
908	2754	275
909	2757	272
910	2760	269
911	2763	266
912	2765	263
913	2768	260
914	2771	257
915	2774	254
916	2776	251
917	2779	248
918	2782	245
919	2784	242
920	2787	239
921	2790	236
922	2792	232
923	2795	229
924	2798	226
925	2801	223
926	2803	220
927	2806	217
928	2808	214
929	2811	211
930	2814	208
931	2817	205
932	2820	202
933	2822	199
934	2825	196
935	2827	193
936	2830	190
937	2833	187
938	2836	184
939	2838	181
940	2841	178
941	2844	175
942	2846	172
943	2849	169
944	2852	165
945	2854	162
946	2857	159
947	2860	156
948	2862	153
949	2865	150
950	2868	147
951	2871	144
952	2874	141
953	2876	138
954	2879	135
955	2882	132
956	2884	129
957	2887	126
958	2890	123
959	2893	120
960	2896	117
961	2898	114
962	2901	111
963	2905	108
964	2908	105
965	2911	102
966	2914	99
967	2917	96
968	2919	93
969	2922	90
970	2925	87
971	2927	84
972	2930	81
973	2933	78
974	2936	75
975	2938	72
976	2941	69
977	2944	66
978	2946	63
979	2949	60
980	2951	57
981	2954	54
982	2957	51
983	2959	48
984	2962	45
985	2965	42
986	2967	39
987	2970	36
988	2973	33
989	2975	30
990	2978	27
991	2981	24
992	2983	21
993	2986	18
994	2988	15
995	2991	12
996	2994	9
997	2996	6
998	2999	3
999	3002	0
